Royal Challengers Bangalore,Sum of 0,Sum of 335982
Mumbai Indians,290581,28248857997
Kolkata Knight Riders,270883,26865031748
Chennai Super Kings,263985,25030869562
Royal Challengers Bangalore,259966,24304885116
Rajasthan Royals,243461,23383028243
Kings XI Punjab,205017,17111214057
Sunrisers Hyderabad,200961,23677019208
Delhi Daredevils,170711,12673276694
Delhi Capitals,105723,14414314249
Deccan Chargers,83335,3970124226
Punjab Kings,62096,8983741777
Pune Warriors,50217,3011209734
Lucknow Super Giants,48745,7112688487
Gujarat Titans,48467,7194177445
Gujarat Lions,32279,3644226613
Rising Pune Supergiant,17860,2087294643
Royal Challengers Bengaluru,16531,2566272511
Rising Pune Supergiants,14771,1584237681
Kochi Tuskers Kerala,14269,808986795
